drugID,name,sideeffects,benefits
14060,BARIUM CATION,Mid-inner ear ops NEC,Beam Radiation of Uterus using Photons 1 - 10 MeV
19124,ALCOHOL,Bilat part salpingec NOS,"Occlusion of L Up Lobe Bronc with Intralum Dev, Via Opening"
19798,SODIUM CHLORIDE,App ext fix dev-ring sys,"Drainage of Right Upper Lobe Bronchus, Perc Approach, Diagn"
31512,OXYMETAZOLINE HYDROCHLORIDE,Cranial puncture NEC,"Reposition Left Sternoclavicular Joint, External Approach"
20819,Cetirizine HCl,Surg induct labor NEC,"Dilate R Com Carotid w 4+ Intralum Dev, Perc Endo"
49226,Strawberry Fragaria chiloensis,Replace trac/laryn stent,"Removal of Ext Fix from Skull, Extern Approach"
00631,Meloxicam,Unilat thyroid lobectomy,Stereotactic Particulate Radiosurgery of Adrenal Glands
43091,Methadone Hydrochloride,Retroperiton pneumogram,"Extirpation of Matter from Left Testis, Perc Approach"
79168,Fluoxetine Hydrochloride,Thermocaut cornea lesion,"Destruction of Right Hip Tendon, Perc Endo Approach"
69945,POVIONE IODINE,Fus/refus 4-8 vertebrae,"Extirpation of Matter from Pulmonary Trunk, Perc Approach"
95274,Diclofenac Potassium,Close gastric fistul NEC,"Dilate L Great Saphenous w Intralum Dev, Perc Endo"
09652,Ibuprofen,Repair of prostate,"Replace of R Trunk Tendon with Synth Sub, Perc Endo Approach"
51049,acetaminophen,Periton pneumogram NEC,"Insertion of Monopln Ext Fix into L Fibula, Open Approach"
55269,Gabapentin,Sinus lavage thru ostium,"Insertion of Radioact Elem into Chest Wall, Perc Approach"
27950,Cetirizine Hydrochloride,Replace bladder stimulat,"Fusion >7 T Jt w Intbd Fus Dev, Post Appr P Col, Perc"
15493,Acetaminophen,Neurolyt injec-symp nrv,"Release Left Radius, Open Approach"
20115,OCTINOXATE,Rad pancreaticoduodenect,"Bypass R Com Iliac Art to R Femor A w Nonaut Sub, Open"
44532,lorazepam,Arth/pros rem wo re-shld,"Restrict of R Fem Art with Extralum Dev, Perc Endo Approach"
69388,RIFAXIMIN,Salivary operation NEC,"Removal of Synth Sub from L Knee Jt, Tibial, Perc Approach"
89448,ondansetron,Partial patellectomy,"Dilate L Peroneal Art w 4 Drug-elut, Perc Endo"
23810,Aspen,Hearing examination NOS,"Excision of Right Palatine Bone, Open Approach, Diagnostic"
76121,Minoxidil,Adrenal reimplantation,"Restriction of Right Axillary Artery, Perc Endo Approach"
59999,HYDROCORTISONE,Tot face ostect w recons,"Radiation Therapy, Hepatobil Pancreas, Beam Radiation"
02793,Sodium Fluoride,"Oth exc, fus, repair toe","Supplement Colic Vein with Synth Sub, Perc Approach"
73065,Purified Water ,Carotid sinus stiumlat,"Detachment at Right 5th Toe, Low, Open Approach"
88506,ACTIVATED CHARCOAL,Fallop tube dx proc NEC,"Excision of Head and Neck Bursa and Ligament, Open Approach"
02261,Guaifenesin,Comb alco/drug reha/deto,"Supplement Tongue with Synthetic Substitute, Open Approach"
64845,Duloxetine hydrochloride,Latiss dorsi myocut flap,"Insertion of Monitor Dev into Small Intest, Open Approach"
19111,Isopropyl Alcohol,Bilat simple mastectomy,"Drainage of Left Upper Arm Muscle, Perc Endo Approach, Diagn"
88947,Hydrocodone Bitartrate,Cisternal puncture,"Extraction of Lumbar Nerve, Percutaneous Endoscopic Approach"
60094,ergotamine tartrate,Osteoclasis-patella,"Dilate R Peroneal Art w 2 Intralum Dev, Perc Endo"
08321,Candida albicans,Limited consultation,"Introduce Nonaut Fertilized Ovum in Fem Reprod, Via Opening"
66834,Ipratropium Bromide,Urinary system op NEC,"Drainage of Left Hand Tendon, Open Approach, Diagnostic"
34154,risperidone,Suture of tongue lacerat,Traction of Left Hand
83806,Menthol,D & C for preg terminat,"Drainage of Glossopharyngeal Nerve, Open Approach"
99089,SODIUM BICARBONATE,Bile duct repair NEC,"Replacement of R Hip Jt with Metal, Cement, Open Approach"
69790,Verapamil Hydrochloride,Remove int fix face bone,Removal of Bandage on Right Upper Leg
